"id","name","mechanic","equipment","primary_muscle","secondary_muscles","beginner_friendly","instructions","images","hypertrophy_score","rep_range","hidden","bench_required","pull_up_bar_required"
316,One-Arm Dumbbell Row,compound,dumbbell,middle back,"{biceps,lats,shoulders}",true,"{""Choose a flat bench (or another sturdy surface like a rock or table) and place a dumbbell on the ground beside it."",""Place the right leg on top of the end of the bench (or brace your right hand on the alternative surface), bend your torso forward from the waist until your upper body is parallel to the floor, and support your weight with your right hand."",""Use the left hand to pick up the dumbbell on the floor and hold the weight while keeping your lower back straight. The palm of the hand should be facing your torso. This will be your starting position."",""Pull the resistance straight up to the side of your chest, keeping your upper arm close to your side and keeping the torso stationary. Breathe out as you perform this step. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. Also, make sure that the force is performed with the back muscles and not the arms. Finally, the upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the dumbbell; therefore do not try to pull the dumbbell up using the forearms."",""Lower the resistance straight down to the starting position. Breathe in as you perform this step."",""Repeat the movement for the specified amount of repetitions."",""Switch sides and repeat again with the other arm.""}","{One-Arm_Dumbbell_Row/0.jpg,One-Arm_Dumbbell_Row/1.jpg}",2,"8-12",false,false,false
6,Alternate Hammer Curl,isolation,dumbbell,biceps,{forearms},true,"{""Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso."",""The palms of the hands should be facing your torso. This will be your starting position."",""While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."",""Slowly begin to bring the dumbbells back to starting position as your breathe in."",""Repeat the movement with the left hand. This equals one repetition."",""Continue alternating in this manner for the recommended amount of repetitions.""}","{Alternate_Hammer_Curl/0.jpg,Alternate_Hammer_Curl/1.jpg}",,"",true,,
8,Alternate Incline Dumbbell Curl,isolation,dumbbell,biceps,{forearms},true,"{""Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position."",""While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."",""Slowly begin to bring the dumbbell back to starting position as your breathe in."",""Repeat the movement with the left hand. This equals one repetition."",""Continue alternating in this manner for the recommended amount of repetitions.""}","{Alternate_Incline_Dumbbell_Curl/0.jpg,Alternate_Incline_Dumbbell_Curl/1.jpg}",,"",true,,
9,Alternating Cable Shoulder Press,compound,cable,shoulders,{triceps},true,"{""Move the cables to the bottom of the tower and select an appropriate weight."",""Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position."",""Keeping your head and chest up, extend through the elbow to press one side directly over head."",""After pausing at the top, return to the starting position and repeat on the opposite side.""}","{Alternating_Cable_Shoulder_Press/0.jpg,Alternating_Cable_Shoulder_Press/1.jpg}",,"",true,,
10,Alternating Deltoid Raise,isolation,dumbbell,shoulders,{},true,"{""In a standing position, hold a pair of dumbbells at your side."",""Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating."",""Return the weights to your side."",""On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height."",""Return the weights to the starting position and continue alternating to the front and side.""}","{Alternating_Deltoid_Raise/0.jpg,Alternating_Deltoid_Raise/1.jpg}",,"",true,,
2,Ab Crunch Machine,isolation,machine,abdominals,{},false,"{""Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position."",""At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet."",""After a second pause, slowly return to the starting position as you breathe in."",""Repeat the movement for the prescribed amount of repetitions.""}","{Ab_Crunch_Machine/0.jpg,Ab_Crunch_Machine/1.jpg}",3,"10-15",false,false,false
19,Balance Board,compound,other,calves,"{hamstrings,quadriceps}",true,"{""Place a balance board in front of you."",""Stand up on it and try to balance yourself."",""Hold the balance for as long as desired.""}","{Balance_Board/0.jpg,Balance_Board/1.jpg}",,"",true,,
14,Alternating Kettlebell Row,isolation,kettlebells,middle back,"{biceps,lats}",false,"{""Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles."",""Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage."",""Lower the kettlebell in the working arm and repeat with your other arm.""}","{Alternating_Kettlebell_Row/0.jpg,Alternating_Kettlebell_Row/1.jpg}",,"",true,,
15,Anti-Gravity Press,compound,barbell,shoulders,"{""middle back"",traps,triceps}",true,"{""Place a bar on the ground behind the head of an incline bench."",""Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position."",""To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement."",""Return to the starting position and repeat to complete the set.""}","{Anti-Gravity_Press/0.jpg,Anti-Gravity_Press/1.jpg}",,"",true,,
556,Barbell Hip Thrust,compound,barbell,glutes,"{calves,hamstrings}",false,"{""Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise."",""Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it."",""Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position.""}","{Barbell_Hip_Thrust/0.jpg,Barbell_Hip_Thrust/1.jpg}",4,"8-12",false,true,false
